name,marca,linea,descrizione,image_url
1MM GREEN,Madras,Linea Casa,"1MM Green: il lavamuffe inodore biodegradabile al 100%
Detergente per la pulizia delle muffe da tutte le superfici lavabili della casa. Non contiene cloro ed è inodore, adatto sia per le camere che per la cucina. Penetra in profondità pulendo e aggredendo fino alla radice muffe e affini, disgregandole.
Può essere usato su pareti (non aggredisce le pitture), sanitari e fughe delle piastrelle, bagni e cucine, su mobili in legno, laminati, plastica, ecc.",/images/madras_prodotti/1MMGREEN.webp
1MM PRONTO ALL’USO E CONCENTRATO,Madras,Linea Casa,"Super igienizzante al cloro per pavimenti, rivestimenti, sanitari e top.",/images/madras_prodotti/1MMPRONTOALLUSOECONCENTRATO.webp
1MM PROTECTOR,Madras,Linea Casa,"Protettivo contro il deposito della muffa, dispersione acquosa inodore di argento colloidale",/images/madras_prodotti/1MMPROTECTOR.webp
ACIDO MADRAS,Madras,Linea Casa,Acido concentrato “inibito” (tamponato) per eliminare salnitri e calcare,/images/madras_prodotti/ACIDOMADRAS.webp
ACQUA DI MADRAS PRONTO ALL’USO E CONCENTRATO,Madras,Linea Casa,Detergente neutro super igienizzante universale con acqua ossigenata per superfici e pavimenti,/images/madras_prodotti/ACQUADIMADRASPRONTOALLUSOECONCENTRATO.webp
ANTICALCARE CASA,Madras,Linea Casa,"Anticalcare Casa è il detergente anticalcare per box doccia, rubinetterie e sanitari che stavi cercando.",/images/madras_prodotti/ANTICALCARECASA.webp
ANTIPOLVERE CASA,Madras,Linea Casa,"Detergente acido gentile profumato, antipolvere ed anticalcare, per pavimenti ceramici.",/images/madras_prodotti/ANTIPOLVERECASA.webp
BOUQUET FIORITO,Madras,Linea Casa,Detergente igienizzante neutro profumato,/images/madras_prodotti/BOUQUETFIORITO.webp
BREZZA MARINA,Madras,Linea Casa,Detergente igienizzante neutro profumato,/images/madras_prodotti/BREZZAMARINA.webp
CASA BRILL,Madras,Linea Casa,Detergente brillantante universale antistatico,/images/madras_prodotti/CASABRILL.webp
CASA BRILL FORTE,Madras,Linea Casa,"Detergente universale per vetri, specchi e superfici brillanti",/images/madras_prodotti/CASABRILLFORTE.webp
CASACHIT,Madras,Linea Casa,Casachit: sgrassante universale concentrato e pronto per la pulizia di superfici lavabili dure.,/images/madras_prodotti/CASACHIT.webp
CERAM-GRES,Madras,Linea Casa,"Detergente acido per pavimenti resistenti, grezzi o trattati, per interni ed esterni.",/images/madras_prodotti/CERAM-GRES.webp
COTTOBRILL,Madras,Linea Casa,"Cottobrill è un detergente neutro, ecologico, biodegradabile con profumo ipoallergenico allo zenzero ideale per i pavimenti in cotto trattati.",/images/madras_prodotti/COTTOBRILL.webp
CREAM STONE,Madras,Linea Casa,Crema di finitura per pietre e top.,/images/madras_prodotti/CREAMSTONE.webp
CREAM WOOD,Madras,Linea Casa,"Cream Wood è una crema liquida, antistatica, morbida e ricca di cera d’api, per la cura dei mobili e di ogni superficie in legno naturale, formica e laminati. Fa risaltare tutta la bellezza naturale delle superfici ravvivandole e le mantiene nel tempo, penetra nelle fibre del legno, le nutre a fondo e le protegge.",/images/madras_prodotti/CREAMWOOD.webp
DETERSAN CASA,Madras,Linea Casa,Detergente igienizzante neutro concentrato,/images/madras_prodotti/DETERSANCASA.webp
DETERSAN COTTO,Madras,Linea Casa,"Detersan Cotto è un detergente igienizzante concentrato per superfici in cotto, pietra e klinker. Rimuove lo sporco senza danneggiare la cera protettiva, previene la formazione batterica ed è sicuro per bambini e animali domestici. La sua formula neutra e concentrata assicura una pulizia efficace ed economica, rispettando l’ambiente.",/images/madras_prodotti/DETERSANCOTTO.webp
FIORI D’AFRICA,Madras,Linea Casa,Detergente igienizzante neutro profumato.,/images/madras_prodotti/FIORIDAFRICA.webp
GRESKLIN,Madras,Linea Casa,"Gresklin: detergente igienizzante, neutro, con fragranza alla mirra ipoallergenica. Perfetto per il gres porcellanato.",/images/madras_prodotti/GRESKLIN.webp
IDRAULICO MADRAS,Madras,Linea Casa,Disgorgante liquido per scarichi bloccati.,/images/madras_prodotti/IDRAULICOMADRAS.webp
KILLER DELLO SPORCO,Madras,Linea Casa,Killer dello sporco è il super pulitore universale pronto all’uso e concentrato per comunità ed industria.,/images/madras_prodotti/KILLERDELLOSPORCO.webp
LAVALUCIDA,Madras,Linea Casa,Protettivo autolucidante per pavimenti.,/images/madras_prodotti/LAVALUCIDA.webp
LEGNOBRILL,Madras,Linea Casa,"Legnobrill: detergente igienizzante, neutro, con fragranza al pino ipoallergenica per pavimenti in legno e parquet.",/images/madras_prodotti/LEGNOBRILL.webp
LEVAODORI,Madras,Linea Casa,"Liquido biologico naturale per eliminare i cattivi odori da pattumiere, lettiere, scarpe, tappezzerie, muri, sanitari e molto altro.",/images/madras_prodotti/LEVAODORI.webp
MADRALUX WC,Madras,Linea Casa,"Madralux WC è un decalcificante forte per sanitari. Sbianca, igienizza, deodora.",/images/madras_prodotti/MADRALUXWC.webp
MARMOBRILL,Madras,Linea Casa,"Detergente igienizzante, neutro, con fragranza pesca ipoallergenica.",/images/madras_prodotti/MARMOBRILL.webp
MELA VERDE,Madras,Linea Casa,Detergente igienizzante neutro profumato.,/images/madras_prodotti/MELAVERDE.webp
PULISCIFUGHE,Madras,Linea Casa,"L’antipolvere, anticalcare per pavimenti.",/images/madras_prodotti/PULISCIFUGHE.webp
PULISCIFUMI,Madras,Linea Casa,"Superpulitore di fuliggine e fumi, eccezionale per vetro-ceramico.",/images/madras_prodotti/PULISCIFUMI.webp
SCARICO VIVO,Madras,Linea Casa,"Attivatore biologico per scarichi, pozzetti e fosse biologiche.",/images/madras_prodotti/SCARICOVIVO.webp
UPPER ALCALINO GEL,Madras,Linea Casa,Disgorgante igienizzante per scarichi bloccati.,/images/madras_prodotti/UPPERALCALINOGEL.webp
WAX OPACA,Madras,Linea Casa,Cera opaca di finitura e di mantenimento per tutti i pavimenti.,/images/madras_prodotti/WAXOPACA.webp
WAX WOOD,Madras,Linea Casa,Cera per pavimenti in legno e parquet.,/images/madras_prodotti/WAXWOOD.webp
WAXCOTT,Madras,Linea Casa,Cera autolucidante antiscivolo per cotto e pietre trattate.,/images/madras_prodotti/WAXCOTT.webp
WAXCOTT COLORATA,Madras,Linea Casa,Cera invecchiante e tonalizzante per pavimenti e manufatti.,/images/madras_prodotti/WAXCOTTCOLORATA.webp
WAXKLINKER,Madras,Linea Casa,"Cera neutra autolucidante, antiscivolo per klinker e pavimenti ceramici.",/images/madras_prodotti/WAXKLINKER.webp
WAXMARMO,Madras,Linea Casa,"Cera autolucidante antigraffio per marmi e sassi anticati, marmi e granigliati lucidati.",/images/madras_prodotti/WAXMARMO.webp
WAXOUT,Madras,Linea Casa,Decerante detergente ammoniacale.,/images/madras_prodotti/WAXOUT.webp
WAXPOLISH,Madras,Linea Casa,Protettivo autolucidante per tutti i pavimenti trattati e cerati.,/images/madras_prodotti/WAXPOLISH.webp
1AP POSA,Madras,Linea Professionale,"1AP Posa: protettivo antiaderente permanente per stuccare pavimenti e rivestimenti, sia interni che esterni.",/images/madras_prodotti/1APPOSA.webp
1II INVECCHIANTE,Madras,Linea Professionale,"Idrorepellente permanente per manufatti, prospetti a facciavista e fughe.",/images/madras_prodotti/1IIINVECCHIANTE.webp
ACIDO MADRAS,Madras,Linea Professionale,Acido concentrato “inibito” (tamponato) per eliminare salnitri e calcare,/images/madras_prodotti/ACIDOMADRAS.webp
ADDITIVO AI DETERGENTI ACIDI,Madras,Linea Professionale,"Additivo fortemente ossidante per Rascott, Rascott Denso, Rasklinker, Detercott, Detercott Denso",/images/madras_prodotti/ADDITIVOAIDETERGENTIACIDI.webp
AG+,Madras,Linea Professionale,Additivo igienizzante agli ioni d’argento.,/images/madras_prodotti/AG.webp
ASCIUGAMURI MADRAS,Madras,Linea Professionale,Crema tixotropica idrorepellente densa ad elevata concentrazione di alchil-silossani e poli-silossani in dispersione acquosa,/images/madras_prodotti/ASCIUGAMURIMADRAS.webp
BETON LATEX,Madras,Linea Professionale,"Lattice di presa per malte, stucchi, colle e cementi controspinta.",/images/madras_prodotti/BETONLATEX.webp
CEM,Madras,Linea Professionale,Protettivo antispolvero per massetti e pavimenti interni in cemento e cemento al quarzo,/images/madras_prodotti/CEM.webp
CH1,Madras,Linea Professionale,Supersgrassatore sverniciante ideale per il recupero di pavimenti trattati ad olio e cere,/images/madras_prodotti/CH1.webp
CH1 DENSO,Madras,Linea Professionale,"Supersgrassatore denso, per la pulizia del facciavista da smog, olii, cere e resine",/images/madras_prodotti/CH1DENSO.webp
CHIT FORTE,Madras,Linea Professionale,Super pulitore universale concentrato per tutte le superfici lavabili dure.,/images/madras_prodotti/CHITFORTE.webp
CONTROSPINTA,Madras,Linea Professionale,Rivestimento impermeabile bianco per murature soggette ad infiltrazioni d’acqua.,/images/madras_prodotti/CONTROSPINTA.webp
DETERCOTT,Madras,Linea Professionale,"Detergente acido e anticalcare dopo posa per pavimenti resistenti agli acidi. DETERCOTT è il prodotto studiato specificatamente per asportare residui di cemento e boiacche, ossidare affioramenti salini, macchie di origine calcarea, fosfati e solfati, dai pavimenti. Le suddette sostanze, infatti, dopo la posa, occludono la porosità dei manufatti e senza una adeguata pulizia, impediscono una buona riuscita al successivo trattamento.",/images/madras_prodotti/DETERCOTT.webp
DETERCOTT DENSO,Madras,Linea Professionale,"Detergente acido denso, per la pulizia del facciavista e di tutti i materiali resistenti agli acidi",/images/madras_prodotti/DETERCOTTDENSO.webp
DETERPAV,Madras,Linea Professionale,"Detergente acido per pavimenti e rivestimenti ceramici resistenti, marmi, pietre e pietre degradate.",/images/madras_prodotti/DETERPAV.webp
DILUENTE PER ESTERNI,Madras,Linea Professionale,"Diluente specifico per Pieffe, Emme 330 e Erre 90.",/images/madras_prodotti/DILUENTEPERESTERNI.webp
DILUENTE PER INTERNI,Madras,Linea Professionale,"Diluente specifico per Effeci, smacchiatore e sverniciatore a secco.",/images/madras_prodotti/DILUENTEPERINTERNI.webp
EFFE 1,Madras,Linea Professionale,Idrorepellente “effetto naturale” permanente.,/images/madras_prodotti/EFFE1.webp
EFFE 100,Madras,Linea Professionale,Idrorepellente “effetto naturale” permanente.,/images/madras_prodotti/EFFE100.webp
EFFE 2,Madras,Linea Professionale,Idrorepellente “effetto bagnato” opaco.,/images/madras_prodotti/EFFE2.webp
EFFE 200,Madras,Linea Professionale,Idrorepellente “effetto bagnato” opaco.,/images/madras_prodotti/EFFE200.webp
EFFE 3,Madras,Linea Professionale,Idrorepellente “effetto ravvivante”.,/images/madras_prodotti/EFFE3.webp
EFFE 300,Madras,Linea Professionale,"Effe 300 pronto all’uso è un idrorepellente “effetto ravvivante” di nuova generazione.
Non altera drasticamente la traspirazione (10% al massimo), non pellicola ed è ottimo come idrorepellente all’acqua piovana e alle macchie di sporco.
Per pavimenti e manufatti in esterno, viene utilizzato come unico prodotto per ottenere un trattamento idrorepellente “ravvivante” antimacchia.
Per trattamenti in interno sostituisce l’impregnante di fondo; la finitura a cera (in pasta e liquida) protegge il trattamento dall’usura e favorisce la pulizia quotidiana.",/images/madras_prodotti/EFFE300.webp
EFFE 4,Madras,Linea Professionale,Idro-oleorepellente antimacchia.,/images/madras_prodotti/EFFE4.webp
EFFE 400,Madras,Linea Professionale,Idro-oleorepellente antimacchia.,/images/madras_prodotti/EFFE400.webp
EFFE 5,Madras,Linea Professionale,Protettivo antiaderente provvisorio di posa.,/images/madras_prodotti/EFFE5.webp
EFFE 500,Madras,Linea Professionale,"Protettivo antiaderente provvisorio di posa. EFFE 500 PRONTO ALL’USO base acqua, è il protettivo antiaderente provvisorio per isolare le piastrelle dei pavimenti e rivestimenti assorbenti dalla ritenzione degli stucchi di posa (per stucchi epossidici vedi 1AP POSA base solvente e per pavimenti e rivestimenti in gres porcellanato vedi ISOLCOTT).",/images/madras_prodotti/EFFE500.webp
EFFE 6,Madras,Linea Professionale,Idrorepellente antimacchia per legni grezzi.,/images/madras_prodotti/EFFE6.webp
EFFE 70,Madras,Linea Professionale,"Protettivo idrorepellente traspirante permanente “effetto naturale”.
EFFE 70 FACCIAVISTA è il protettivo idrorepellente antivegetativo traspirante “effetto naturale” ad alta penetrazione. Viene impiegato per l’impregnazione di materiali edili di natura minerale come: laterizi, pietre, pietre rigenerate, calcestruzzo, klinker, gres, intonaci cementizi (anche già pitturati) ecc.
Può essere usato in tutti quei casi in cui l’assorbimento e la ritenzione di acqua piovana creano inconvenienti di umidità, come efflorescenze saline, muffe ed alghe.",/images/madras_prodotti/EFFE70.webp
EFFE 900,Madras,Linea Professionale,"Consolidante antispolvero idrorepellente per facciavista.
EFFE 900 è una miscela di resine in dispersione acquosa per il consolidamento e il trattamento antispolvero traspirante di manufatti a “facciavista” assorbenti.
Ravviva le superfici rendendole idrorepellenti. La sua composizione massima di resina acrilica in microdispersione (particelle con diametro estremamente ridotto) ottimizza il potere consolidante e antispolvero, facilitandone l’applicazione e rendendolo alla portata del normale “fai da te”.
EFFE 900 è inoltre resistente ai raggi UV.",/images/madras_prodotti/EFFE900.webp
EFFECI,Madras,Linea Professionale,"Effeci: impregnante antimacchia “effetto bagnato”.
Impermeabilizzante idro-oleorepellente a lunga durata, ideale per cucine, sale da pranzo e taverne.",/images/madras_prodotti/EFFECI.webp
EMME 330,Madras,Linea Professionale,"Protettivo ceroso impermeabilizzante “effetto ravvivante”. EMME 330 è una cera a base solvente “effetto ravvivante”, ideale per la protezione e la finitura di pavimenti, manufatti e superfici in cotto, klinker, pietra e pietra rigenerata, marmo e top, materiali lapidei, legno non verniciato e marmi anticati, per ottenere una tonalità più calda ed un colore più vivo.
EMME 330 sigilla la porosità, protegge e rende facilmente lavabile qualsiasi superficie o manufatto.",/images/madras_prodotti/EMME330.webp
ERRE 90,Madras,Linea Professionale,"Trattamento idro-oleorepellente “effetto naturale”, con caratteristiche “antigraffiti” ed antismog. Non modifica la colorazione dei materiali. Mantiene la traspirazione. Per pavimenti, facciavista interni ed esterni e per qualsiasi materiale edile poroso.",/images/madras_prodotti/ERRE90.webp
ESSE 70,Madras,Linea Professionale,"Idrorepellente traspirante permanente per pavimenti, facciavista e manufatti “effetto naturale”.",/images/madras_prodotti/ESSE70.webp
ESSE-ELLE,Madras,Linea Professionale,"ESSE-ELLE è un toglimuffa per legno grezzo. Questo detergente sbiancante forte distrugge muffe, licheni, funghi, colonie di batteri e igienizza.
Ideale per legno grezzo di qualsiasi natura come travi, colonne, pareti, pavimenti, mobili da giardino e rifiniture.",/images/madras_prodotti/ESSE-ELLE.webp
FIX,Madras,Linea Professionale,"Fissativo murale opaco “effetto cera” per interni, per facciavista, volte, soffitti “effetto naturale”.",/images/madras_prodotti/FIX.webp
GRASSELLO ANTICO,Madras,Linea Professionale,Legante aereo per la preparazione di intonaci di finitura.,/images/madras_prodotti/GRASSELLOANTICO.webp
GRASSELLO PRONTO,Madras,Linea Professionale,"Tonachina, rasante di finitura per intonaci deumidificanti.",/images/madras_prodotti/GRASSELLOPRONTO.webp
IDROMADRAS,Madras,Linea Professionale,Protettivo ravvivante base acqua idrorepellente antimacchia.,/images/madras_prodotti/IDROMADRAS.webp
ISOL-PAV,Madras,Linea Professionale,Isolante provvisorio per la stuccatura del gres porcellanato.,/images/madras_prodotti/ISOL-PAV.webp
ISOLCOTT,Madras,Linea Professionale,Isolante provvisorio per la stuccatura delle piastrelle.,/images/madras_prodotti/ISOLCOTT.webp
KILLER SMOG,Madras,Linea Professionale,"Sgrassante concentrato per asportare fumo, sostanze oleose o grasse.",/images/madras_prodotti/KILLERSMOG.webp
MEST,Madras,Linea Professionale,Disincrostante anticalcare forte.,/images/madras_prodotti/MEST.webp
PIEFFE,Madras,Linea Professionale,Impregnante impermeabilizzante universale “effetto ravvivante” per esterni.,/images/madras_prodotti/PIEFFE.webp
PIESSE,Madras,Linea Professionale,"Impregnante impermeabilizzante per pietre e cotto, ravvivante “effetto bagnato” per esterni.",/images/madras_prodotti/PIESSE.webp
PLUMBER,Madras,Linea Professionale,Disgorgante disotturante rapido per scarichi occlusi.,/images/madras_prodotti/PLUMBER.webp
POROTEC,Madras,Linea Professionale,"Additivo minerale per ottenere intonaci macroporosi deumidificanti e termici. Idoneo per malte cementizie, miste o predosati compatibili.",/images/madras_prodotti/POROTEC.webp
POROTEC ANTISALE,Madras,Linea Professionale,Additivo minerale antisale per schizzatura o rinzaffo di intonaci deumidificanti.,/images/madras_prodotti/POROTECANTISALE.webp
PULIPIU’,Madras,Linea Professionale,"Lo scioglitutto. Elimina calcare, polvere e pitture murali.",/images/madras_prodotti/PULIPIU.webp
PULISCITERRAZZI,Madras,Linea Professionale,Detergente sgrassante mangiamuffe.,/images/madras_prodotti/PULISCITERRAZZI.webp
PULY-PAV,Madras,Linea Professionale,"Decerante sgrassante dopo posa, detergente ammoniacale.",/images/madras_prodotti/PULY-PAV.webp
R-24,Madras,Linea Professionale,Il neutralizzante dei residui acidi.,/images/madras_prodotti/R-24.webp
RUST,Madras,Linea Professionale,Il togliruggine a tutti i pavimenti lapidei resistenti agli acidi.,/images/madras_prodotti/RUST.webp
SIGILLATERRAZZI,Madras,Linea Professionale,"Protettivo idrorepellente impermeabilizzante per balconi, terrazzi e pavimenti sospesi.",/images/madras_prodotti/SIGILLATERRAZZI.webp
STURAPIU’,Madras,Linea Professionale,Disotturante idraulico per scarichi.,/images/madras_prodotti/STURAPIU.webp
SUPER 1MM,Madras,Linea Professionale,"Il mufficida rapido igienizzante per eliminare muffe, muschi, batteri, alghe e muschi.",/images/madras_prodotti/SUPER1MM.webp
TRATTATERRAZZI,Madras,Linea Professionale,"Protettivo ravvivante antimacchia semipermanente per terrazzi, balconi e pavimenti con massetti isolati.",/images/madras_prodotti/TRATTATERRAZZI.webp
UPPER,Madras,Linea Professionale,Disotturante idraulico per scarichi.,/images/madras_prodotti/UPPER.webp
WAX MARBLE,Madras,Linea Professionale,Cera neutra autolucidante per tutti i pavimenti trattati e per il parquet “effetto lucido”.,/images/madras_prodotti/WAXMARBLE.webp
WAX MATT,Madras,Linea Professionale,Cera neutra per la finitura opaca di tutti i pavimenti trattati e per il parquet “effetto naturale”.,/images/madras_prodotti/WAXMATT.webp
WF1 FORTE,Madras,Linea Professionale,Il decerante forte per asportare cere e vecchi trattamenti acrilici. Detergente per materiali non resistenti agli acidi.,/images/madras_prodotti/WF1FORTE.webp
WSK1 ANTISCHIUMA,Madras,Linea Professionale,Dissolvitore di schiuma.,/images/madras_prodotti/WSK1ANTISCHIUMA.webp
