name,description,url,image_url
Diamant Laser,"Diamant Laser - disco diamantato universale ideale per cemento, cemento armato, cotto, mattoni, betonella, ceramica, ghiaino lavato, granito, porfido, poroton, mattoni forati e pieni. Adatto anche per arenaria, clinker, marmo, tufo e tubi PVC 
corona di altezza 10mm ad alta concentrazione di diamante
segmenti saldati al laser
in grado di tagliare ferro di armatura del calcestruzzo
diametro 115 mm (nr. giri max. 16.650) o 230 mm (nr. giri max. 6.650)",https://www.unishop.it/oe230x2.5/0668-010-230-01,/images/unishop_products_dischi/DiamantLaser.webp
Mole da taglio inox IZZYCUT s…,"Mole da taglio inox IZZYCUT sottile - disco di qualità economico idonea per taglio di acciaio inox, acciaio, lamiere sottili e materiali plastici
 ottimo rapporto qualità/prezzospessore ridotto per migliore precisione di tagliovelocità periferica max. 80m/s",https://www.unishop.it/oe115x1.6/0667-115-960-01,/images/unishop_products_dischi/MoledataglioinoxIZZYCUTs.webp
Punta HSS-R,"Punta HSS-R - DIN 338 indicata per forare ghisa, ferro, acciaio, leghe leggere, materiali plastici
 in acciaio superrapido HSS-R con esecuzione rullatacodolo cilindrico, elica destraprofonditá max. di foratura 5 x Ø punta",https://www.unishop.it/10x133/0621-010-0-01,/images/unishop_products_dischi/PuntaHSS-R.webp
Punta muro SUPRA,"Punta muro SUPRA indicata per forare calcestruzzo, cemento, marmo, mattoni pieni e forati
 con speciale placca con tagliente al carburo di tungsteno ad alta resistenza alla percussionescanalature dell’elica fresate con sezione ad U per una forte evacuazione del materialecodolo cilindrico, elica destra",https://www.unishop.it/10x120/3637-001-10-01,/images/unishop_products_dischi/PuntamuroSUPRA.webp
Attacco esagonale,Alberino per seghe a tazza,https://www.unishop.it/14-30/0632-000-001-01,/images/unishop_products_dischi/Attaccoesagonale.webp
A punta,"Scalpello attacco SDS-PLUS - LongLife indicato per calcestruzzo, mattoni, laterizi, piastrelle e materiali edili in generale 
corpo in acciaio speciale
punte e lame autoaffilanti, prestazioni a lunga durata
utilizzo per martelli perforatori e demolitori
specifico per eseguire scassi e scanalature in laterizi",https://www.unishop.it/250/0648-900-01-01,/images/unishop_products_dischi/Apunta.webp
A punta,"Scalpello attacco SDS-MAX - LongLife indicato per calcestruzzo, mattoni, laterizi, piastrelle e materiali edili in generale 
corpo in acciaio speciale
punte e lame autoaffilanti, prestazioni a lunga durata
utilizzo per martelli perforatori e demolitori
specifico per eseguire scassi e scanalature in laterizi",https://www.unishop.it/400/0648-900-100-01,/images/unishop_products_dischi/Apunta.webp
Punte HSS,Assortimenti punte metallo in contenitore metallico,https://www.unishop.it/oe1-10mm/0620-01-01,/images/unishop_products_dischi/PunteHSS.webp
Punta per legno Profix,"Punta per legno Profix indicata per legno duro e dolce e suoi derivati, pannelli in compensato e truciolari.
 con punta di centraggioesecuzione al cromo-vanadiocodolo cilindrico, elica destra",https://www.unishop.it/3x61/3653-03-01,/images/unishop_products_dischi/PuntaperlegnoProfix.webp
Punta per legno serie lunga,"Punta per legno serie lunga indicata per legno duro e dolce e suoi derivati, pannelli in compensato e truciolari.
 con punta di centraggioesecuzione al cromo-vanadiocodolo cilindrico, elica destra",https://www.unishop.it/20x245/0650-920-01,/images/unishop_products_dischi/Puntaperlegnoserielunga.webp
A punta PRO VIB+,"Scalpello attacco SDS-MAX - LongLife indicato per calcestruzzo, mattoni, laterizi, piastrelle e materiali edili in generale 
corpo in acciaio speciale
punte e lame autoaffilanti, prestazioni a lunga durata
utilizzo per martelli perforatori e demolitori
specifico per eseguire scassi e scanalature in laterizi",https://www.unishop.it/400/0648-900-101-01,/images/unishop_products_dischi/ApuntaPROVIB.webp
Punte HSS Ø1-13,Assortimenti punte metallo in contenitore metallico,https://www.unishop.it/oe1-13mm/0620-02-01,/images/unishop_products_dischi/PunteHSSØ1-13.webp
Mole da taglio inox NEXT sott…,"Mole da taglio inox NEXT sottile - disco di nuova generazione ad alte prestazioni idonea per taglio di acciaio inox, acciaio, lamiere sottili e materiali plastici
 taglio freddo: eliminazione “effetto blu” dovuto alla deformazione del materiale e dallo scolorimento della verniceelevata resistenza alla rotturaprecisione nel taglio dovuta agli spessori ridottivelocitá periferica max. 80m/s",https://www.unishop.it/oe115x1/0667-115-110-01,/images/unishop_products_dischi/MoledataglioinoxNEXTsott.webp
Punta muro PRO4,"Punta muro PRO4 indicata per forare tutti i materiali edili, cemento, calcestruzzo, pietre in genere, mattoni con placchetta in metallo duro monoblocco a 4 taglientiscanalature dell’elica con sezione ad L per un alta evacuazione del materialeperfetta circolarità del forocodolo cilindrico, elica destra",https://www.unishop.it/15x150/3637-004-15-01,/images/unishop_products_dischi/PuntamuroPRO4.webp
Piatto PRO,"Scalpello attacco SDS-PLUS - LongLife indicato per calcestruzzo, mattoni, laterizi, piastrelle e materiali edili in generale 
corpo in acciaio speciale
punte e lame autoaffilanti, prestazioni a lunga durata
utilizzo per martelli perforatori e demolitori
specifico per eseguire scassi e scanalature in laterizi",https://www.unishop.it/20x250/0648-900-02-01,/images/unishop_products_dischi/PiattoPRO.webp
Seghe a tazza HSS,"Seghe a tazza HSS - altamente professionali idonea per il taglio professionale di qualsiasi materiale a spessore sottile quale acciaio, ghisa, alluminio, rame, bronzo, ottone, legno, plastica, fibra di vetro, resine sintetiche, formica, cartongesso
 alta resa e lunga durata, taglio pulitoprofondità massima di taglio 30mm",https://www.unishop.it/oe22/0632-000-022-01,/images/unishop_products_dischi/SegheatazzaHSS.webp
Diamant Laser Silent 3.0,"Diamant Laser Silent 3.0 - disco diamantato silenziato ideale per cemento, cemento armato, cotto, betonella, ghiaino lavato, granito, porfido, poroton, mattoni forati e pieni. Adatto anche per arenaria, klinker, marmo, tufo e tubi PVC 
segmenti saldati al laser altezza 15mm con diamante rivestito di titanio
speciale foratura che conferisce refrigerazione dell’anima e quindi rotazione stabile
anima con tagli al laser a S iniettati in gomma vulcanizzata in grado di ridurre le vibrazioni
diametro 230mm, nr. giri max. 8.350",https://www.unishop.it/oe230x2-6/0668-016-232-01,/images/unishop_products_dischi/DiamantLaserSilent30.webp
Attacco esagonale,Alberino per seghe a tazza,https://www.unishop.it/32-210/0632-000-002-01,/images/unishop_products_dischi/Attaccoesagonale.webp
Punta HSS-G Profix,"Punta HSS-G Profix - DIN 338 indicata per forare acciai legati e non legati, ghisa malleabile e sferoidale, leghe leggere, ferro, materie plastiche
 esecuzione interamente rettificatain acciaio superrapido HSS di alta qualitàaffilatura al diamante tipo croce SPLIT POINTcodolo cilindrico, elica destraprofonditá max. di foratura 5 x Ø punta",https://www.unishop.it/11x142/3622-110-01,/images/unishop_products_dischi/PuntaHSS-GProfix.webp
Punta per legno serie extralu…,"Punta per legno serie extralunga indicata per casseforme in legno.
 esecuzione al cromo-vanadiocodolo cilindrico, elica destra",https://www.unishop.it/8x600/0630-80-600-01,/images/unishop_products_dischi/Puntaperlegnoserieextralu.webp
Punte HSS-G Profix,Assortimenti punte metallo in contenitore metallico,https://www.unishop.it/oe1-10mm/0624-01-01,/images/unishop_products_dischi/PunteHSS-GProfix.webp
Piatto,"Scalpello attacco SDS-MAX - LongLife indicato per calcestruzzo, mattoni, laterizi, piastrelle e materiali edili in generale 
corpo in acciaio speciale
punte e lame autoaffilanti, prestazioni a lunga durata
utilizzo per martelli perforatori e demolitori
specifico per eseguire scassi e scanalature in laterizi",https://www.unishop.it/27x400/0648-900-102-01,/images/unishop_products_dischi/Piatto.webp
Punta HSS-G lunga,"Punta HSS-G lunga - DIN 340 indicata per l’esecuzione di fori profondi passanti o ciechi, in acciaio legato e non legato, ghisa, leghe leggere, ferro sinterizzato
 esecuzione interamente rettificatain acciaio superrapido HSS di alta qualitàcodolo cilindrico, elica destraprofonditá max. di foratura 10 x Ø punta",https://www.unishop.it/2-5x95/0628-25-01,/images/unishop_products_dischi/PuntaHSS-Glunga.webp
Punta a corona diamantata per…,"Punta a corona diamantata per gres indicata per il taglio preciso di gres, gres porcellanato o smaltato, ceramica, monocotture, marmo e granito
 punta a corona diamantata con diamante industriale elettro-depositatodoppio scarico in testa e scarico laterale per raffreddamento ed espulsione carotautilizzo punta max 20 fori, da effettuarsi con raffreddamento continuo ad acquaattacco esagonale da 9,5mm",https://www.unishop.it/12x56/0639-012-01,/images/unishop_products_dischi/Puntaacoronadiamantataper.webp
Dischi diamantati,"Diamant Laser - disco diamantato universale ideale per cemento, cemento armato, cotto, mattoni, betonella, ceramica, ghiaino lavato, granito, porfido, poroton, mattoni forati e pieni. Adatto anche per arenaria, clinker, marmo, tufo e tubi PVC 
corona di altezza 10mm ad alta concentrazione di diamante
segmenti saldati al laser
in grado di tagliare ferro di armatura del calcestruzzo
diametro 115 mm (nr. giri max. 16.650) o 230 mm (nr. giri max. 6.650)",https://www.unishop.it/punte-e-dischi/taglio-e-foratura/dischi-diamantati/,/images/unishop_products_dischi/Dischidiamantati.webp
Mole da taglio e sbavo,"Mole da taglio inox IZZYCUT sottile - disco di qualità economico idonea per taglio di acciaio inox, acciaio, lamiere sottili e materiali plastici
 ottimo rapporto qualità/prezzospessore ridotto per migliore precisione di tagliovelocità periferica max. 80m/s",https://www.unishop.it/punte-e-dischi/taglio-e-foratura/mole-da-taglio-e-sbavo/,/images/unishop_products_dischi/Moledataglioesbavo.webp
Punte per metallo,"Punta HSS-R - DIN 338 indicata per forare ghisa, ferro, acciaio, leghe leggere, materiali plastici
 in acciaio superrapido HSS-R con esecuzione rullatacodolo cilindrico, elica destraprofonditá max. di foratura 5 x Ø punta",https://www.unishop.it/punte-e-dischi/taglio-e-foratura/punte-per-metallo/,/images/unishop_products_dischi/Puntepermetallo.webp
Punte per muro,"Punta muro SUPRA indicata per forare calcestruzzo, cemento, marmo, mattoni pieni e forati
 con speciale placca con tagliente al carburo di tungsteno ad alta resistenza alla percussionescanalature dell’elica fresate con sezione ad U per una forte evacuazione del materialecodolo cilindrico, elica destra",https://www.unishop.it/punte-e-dischi/taglio-e-foratura/punte-per-muro/,/images/unishop_products_dischi/Puntepermuro.webp
Punte per legno,"Punta per legno Profix indicata per legno duro e dolce e suoi derivati, pannelli in compensato e truciolari.
 con punta di centraggioesecuzione al cromo-vanadiocodolo cilindrico, elica destra",https://www.unishop.it/punte-e-dischi/taglio-e-foratura/punte-per-legno/,/images/unishop_products_dischi/Punteperlegno.webp
Seghe a tazza HSS,Alberino per seghe a tazza,https://www.unishop.it/punte-e-dischi/taglio-e-foratura/seghe-a-tazza-hss/,/images/unishop_products_dischi/SegheatazzaHSS.webp
Supporto in nylon,"Dischi abrasivi lamellari - esecuzione piana idoneo per la levigatura, sbavatura e pulitura di scorie. Versione con supporto in fibra di lunga durata e minor spessore per utilizzi in spazi ridotti 
zirconio – adatto per la lavorazione su acciaio Inox e sulla maggior parte dei metalli
corindone – adatto alla lavorazione su ferro e materiali non ferrosi
carburo di silicio – adatto alla lavorazione su marmo, pietra e cemento",https://www.unishop.it/grana-40-oe115/0580-315-40-01,/images/unishop_products_dischi/Supportoinnylon.webp
Carta abrasiva in rotolo,"Carta abrasiva in rotolo - professionale all’ossido di alluminio idonea per la levigatura di superfici in legno massiccio o impiallacciate e la carteggiatura di superfici piane, spigoli o bordi.
 alta resa e resistenza allo sgranamentoottima asportazionenon surriscaldanon impasta",https://www.unishop.it/grana-120/0582-7-120-01,/images/unishop_products_dischi/Cartaabrasivainrotolo.webp
Supporto in fibra,"Dischi abrasivi lamellari - esecuzione piana idoneo per la levigatura, sbavatura e pulitura di scorie. Versione con supporto in fibra di lunga durata e minor spessore per utilizzi in spazi ridotti 
zirconio – adatto per la lavorazione su acciaio Inox e sulla maggior parte dei metalli
corindone – adatto alla lavorazione su ferro e materiali non ferrosi
carburo di silicio – adatto alla lavorazione su marmo, pietra e cemento",https://www.unishop.it/grana-40-oe115/0580-515-40-01,/images/unishop_products_dischi/Supportoinfibra.webp
Supporto in nylon,"Dischi abrasivi lamellari - esecuzione piana idoneo per la levigatura, sbavatura e pulitura di scorie. Versione con supporto in fibra di lunga durata e minor spessore per utilizzi in spazi ridotti 
zirconio – adatto per la lavorazione su acciaio Inox e sulla maggior parte dei metalli
corindone – adatto alla lavorazione su ferro e materiali non ferrosi
carburo di silicio – adatto alla lavorazione su marmo, pietra e cemento",https://www.unishop.it/grana-220-oe115/0580-615-220-01,/images/unishop_products_dischi/Supportoinnylon.webp
Dischi abrasivi lamellari,"Dischi abrasivi lamellari - esecuzione piana idoneo per la levigatura, sbavatura e pulitura di scorie. Versione con supporto in fibra di lunga durata e minor spessore per utilizzi in spazi ridotti 
zirconio – adatto per la lavorazione su acciaio Inox e sulla maggior parte dei metalli
corindone – adatto alla lavorazione su ferro e materiali non ferrosi
carburo di silicio – adatto alla lavorazione su marmo, pietra e cemento",https://www.unishop.it/punte-e-dischi/abrasivi/dischi-abrasivi-lamellari/,/images/unishop_products_dischi/Dischiabrasivilamellari.webp
Carta abrasiva in rotolo,"Carta abrasiva in rotolo - professionale all’ossido di alluminio idonea per la levigatura di superfici in legno massiccio o impiallacciate e la carteggiatura di superfici piane, spigoli o bordi.
 alta resa e resistenza allo sgranamentoottima asportazionenon surriscaldanon impasta",https://www.unishop.it/carta-abrasiva-in-rotolo/65183126-d4c6-404d-93a8-27e007c13f93,/images/unishop_products_dischi/Cartaabrasivainrotolo.webp
